__run_id,__done,DAT,Library,DataFrame size,avg_CPU_usage,avg_memory_usage,avg_execution_time,avg_energy_usage
run_7_repetition_1,TODO,isna,Polar,Small, , , , 
run_8_repetition_1,TODO,isna,Dask,Large, , , , 
run_9_repetition_1,TODO,isna,Dask,Small, , , , 
run_10_repetition_1,TODO,replace,Pandas,Large, , , , 
run_11_repetition_1,TODO,replace,Pandas,Small, , , , 
run_12_repetition_1,TODO,replace,Modin,Large, , , , 
run_13_repetition_1,TODO,replace,Modin,Small, , , , 
run_14_repetition_1,TODO,replace,Vaex,Large, , , , 
run_15_repetition_1,TODO,replace,Vaex,Small, , , , 
run_16_repetition_1,TODO,replace,Polar,Large, , , , 
run_17_repetition_1,TODO,replace,Polar,Small, , , , 
run_18_repetition_1,TODO,replace,Dask,Large, , , , 
run_19_repetition_1,TODO,replace,Dask,Small, , , , 
run_20_repetition_1,TODO,groupby,Pandas,Large, , , , 
run_21_repetition_1,TODO,groupby,Pandas,Small, , , , 
run_22_repetition_1,TODO,groupby,Modin,Large, , , , 
run_23_repetition_1,TODO,groupby,Modin,Small, , , , 
run_24_repetition_1,TODO,groupby,Vaex,Large, , , , 
run_25_repetition_1,TODO,groupby,Vaex,Small, , , , 
run_26_repetition_1,TODO,groupby,Polar,Large, , , , 
run_27_repetition_1,TODO,groupby,Polar,Small, , , , 
run_28_repetition_1,TODO,groupby,Dask,Large, , , , 
run_29_repetition_1,TODO,groupby,Dask,Small, , , , 
run_30_repetition_1,TODO,sort,Pandas,Large, , , , 
run_31_repetition_1,TODO,sort,Pandas,Small, , , , 
run_32_repetition_1,TODO,sort,Modin,Large, , , , 
run_33_repetition_1,TODO,sort,Modin,Small, , , , 
run_34_repetition_1,TODO,sort,Vaex,Large, , , , 
run_35_repetition_1,TODO,sort,Vaex,Small, , , , 
run_36_repetition_1,TODO,sort,Polar,Large, , , , 
run_37_repetition_1,TODO,sort,Polar,Small, , , , 
run_38_repetition_1,TODO,sort,Dask,Large, , , , 
run_39_repetition_1,TODO,sort,Dask,Small, , , , 
run_40_repetition_1,TODO,mean,Pandas,Large, , , , 
run_41_repetition_1,TODO,mean,Pandas,Small, , , , 
run_42_repetition_1,TODO,mean,Modin,Large, , , , 
run_43_repetition_1,TODO,mean,Modin,Small, , , , 
run_44_repetition_1,TODO,mean,Vaex,Large, , , , 
run_45_repetition_1,TODO,mean,Vaex,Small, , , , 
run_46_repetition_1,TODO,mean,Polar,Large, , , , 
run_47_repetition_1,TODO,mean,Polar,Small, , , , 
run_48_repetition_1,TODO,mean,Dask,Large, , , , 
run_49_repetition_1,TODO,mean,Dask,Small, , , , 
run_50_repetition_1,TODO,csvin,Pandas,Large, , , , 
run_51_repetition_1,TODO,csvin,Pandas,Small, , , , 
run_52_repetition_1,TODO,csvin,Modin,Large, , , , 
run_53_repetition_1,TODO,csvin,Modin,Small, , , , 
run_54_repetition_1,TODO,csvin,Vaex,Large, , , , 
